symbol,name,tdx_api_mkt,code
SZ002875,安奈儿,0,002875
SZ002873,新天药业,0,002873
SZ002870,香山股份,0,002870
SZ002869,金溢科技,0,002869
SZ002868,绿康生化,0,002868
SZ002867,周大生,0,002867
SZ002866,传艺科技,0,002866
SZ002865,钧达股份,0,002865
SZ002864,盘龙药业,0,002864
SZ002862,实丰文化,0,002862
SZ002860,星帅尔,0,002860
SZ002859,洁美科技,0,002859
SZ002858,力盛体育,0,002858
SZ002853,皮阿诺,0,002853
SZ002852,道道全,0,002852
SZ002851,麦格米特,0,002851
SZ002850,科达利,0,002850
SZ002848,高斯贝尔,0,002848
SZ002847,盐津铺子,0,002847
SZ002846,英联股份,0,002846
SZ002845,同兴达,0,002845
SZ002843,泰嘉股份,0,002843
SZ002841,视源股份,0,002841
SZ002840,华统股份,0,002840
SZ002838,道恩股份,0,002838
SZ002837,英维克,0,002837
SZ002833,弘亚数控,0,002833
SZ002832,比音勒芬,0,002832
SZ002831,裕同科技,0,002831
SZ002829,星网宇达,0,002829
SZ002828,贝肯能源,0,002828
SZ002827,高争民爆,0,002827
SZ002826,易明医药,0,002826
SZ002825,纳尔股份,0,002825
SZ002824,和胜股份,0,002824
SZ002823,凯中精密,0,002823
SZ002821,凯莱英,0,002821
SZ002820,桂发祥,0,002820
SZ002819,东方中科,0,002819
SZ002815,崇达技术,0,002815
SZ002813,路畅科技,0,002813
SZ002812,恩捷股份,0,002812
SZ002810,山东赫达,0,002810
SZ002805,丰元股份,0,002805
SZ002803,吉宏股份,0,002803
SZ002800,天顺股份,0,002800
SZ002799,环球印务,0,002799
SZ002798,帝欧家居,0,002798
SZ002796,世嘉科技,0,002796
SZ002795,永和智控,0,002795
SZ002791,坚朗五金,0,002791
SZ002790,瑞尔特,0,002790
SZ002789,建艺集团,0,002789
SZ002785,万里石,0,002785
SZ002783,凯龙股份,0,002783
SZ002782,可立克,0,002782
SZ002777,久远银海,0,002777
SZ002773,康弘药业,0,002773
SZ002772,众兴菌业,0,002772
SZ002771,真视通,0,002771
SZ002768,国恩股份,0,002768
SZ002765,蓝黛科技,0,002765
SZ002762,金发拉比,0,002762
SZ002761,浙江建投,0,002761
SZ002759,天际股份,0,002759
SZ002758,浙农股份,0,002758
SZ002756,永兴材料,0,002756
SZ002750,龙津药业,0,002750
SZ002747,埃斯顿,0,002747
SZ002746,仙坛股份,0,002746
SZ002745,木林森,0,002745
SZ002741,光华科技,0,002741
SZ002739,万达电影,0,002739
SZ002738,中矿资源,0,002738
SZ002737,葵花药业,0,002737
SZ002736,国信证券,0,002736
SZ002735,王子新材,0,002735
SZ002733,雄韬股份,0,002733
SZ002732,燕塘乳业,0,002732
SZ002731,萃华珠宝,0,002731
SZ002728,特一药业,0,002728
SZ002727,一心堂,0,002727
SZ002723,小崧股份,0,002723
SZ002719,麦趣尔,0,002719
SZ002714,牧原股份,0,002714
SZ002709,天赐材料,0,002709
SZ002707,众信旅游,0,002707
SZ002706,良信股份,0,002706
SZ002705,新宝股份,0,002705
SZ002703,浙江世宝,0,002703
SZ002695,煌上煌,0,002695
SZ002690,美亚光电,0,002690
SZ002683,广东宏大,0,002683
SZ002679,福建金森,0,002679
SZ002677,浙江美大,0,002677
SZ002675,东诚药业,0,002675
SZ002669,康达新材,0,002669
SZ002667,鞍重股份,0,002667
SZ002664,信质集团,0,002664
SZ002658,雪迪龙,0,002658
SZ002657,中科金财,0,002657
SZ002655,共达电声,0,002655
SZ002653,海思科,0,002653
SZ002649,博彦科技,0,002649
SZ002648,卫星化学,0,002648
SZ002646,天佑德酒,0,002646
SZ002645,华宏科技,0,002645
SZ002643,万润股份,0,002643
SZ002642,荣联科技,0,002642
SZ002639,雪人股份,0,002639
SZ002635,安洁科技,0,002635
SZ002634,棒杰股份,0,002634
SZ002626,金达威,0,002626
SZ002625,光启技术,0,002625
SZ002624,完美世界,0,002624
SZ002623,亚玛顿,0,002623
SZ002617,露笑科技,0,002617
SZ002614,奥佳华,0,002614
SZ002612,朗姿股份,0,002612
SZ002609,捷顺科技,0,002609
SZ002606,大连电瓷,0,002606
SZ002605,姚记科技,0,002605
SZ002603,以岭药业,0,002603
SZ002601,龙佰集团,0,002601
SZ002598,山东章鼓,0,002598
SZ002597,金禾实业,0,002597
SZ002595,豪迈科技,0,002595
SZ002594,比亚迪,0,002594
SZ002591,恒大高新,0,002591
SZ002590,万安科技,0,002590
SZ002585,双星新材,0,002585
SZ002582,好想你,0,002582
SZ002581,未名医药,0,002581
SZ002580,圣阳股份,0,002580
SZ002579,中京电子,0,002579
SZ002576,通达动力,0,002576
SZ002572,索菲亚,0,002572
SZ002568,百润股份,0,002568
SZ002561,徐家汇,0,002561
SZ002558,巨人网络,0,002558
SZ002557,洽洽食品,0,002557
SZ002556,辉隆股份,0,002556
SZ002555,三七互娱,0,002555
SZ002553,南方精工,0,002553
SZ002549,凯美特气,0,002549
SZ002545,东方铁塔,0,002545
SZ002541,鸿路钢构,0,002541
SZ002539,云图控股,0,002539
SZ002538,司尔特,0,002538
SZ002534,西子洁能,0,002534
SZ002532,天山铝业,0,002532
SZ002531,天顺风能,0,002531
SZ002529,海源复材,0,002529
SZ002528,英飞拓,0,002528
