datetime,open,high,low,close,volume,symbol,freq
2023-01-06T09:25:00.000000000,5.78,5.85,5.78,5.85,10667,300507,1m
2023-01-06T09:26:00.000000000,5.85,5.87,5.84,5.86,10763,300507,1m
2023-01-06T09:27:00.000000000,5.86,5.9,5.85,5.89,10719,300507,1m
2023-01-06T09:28:00.000000000,5.9,5.91,5.88,5.88,10774,300507,1m
2023-01-06T09:29:00.000000000,5.89,5.89,5.83,5.85,10680,300507,1m
2023-01-06T09:30:00.000000000,5.84,5.89,5.82,5.89,10860,300507,1m
2023-01-06T09:31:00.000000000,5.89,5.95,5.89,5.94,12312,300507,1m
2023-01-06T09:32:00.000000000,5.96,6.02,5.96,6.0,11088,300507,1m
2023-01-06T09:33:00.000000000,6.01,6.01,5.97,5.99,11125,300507,1m
2023-01-06T09:34:00.000000000,6.0,6.02,5.99,6.02,10778,300507,1m
2023-01-06T09:35:00.000000000,6.02,6.02,5.98,5.98,10705,300507,1m
2023-01-06T09:36:00.000000000,5.98,5.99,5.94,5.94,11377,300507,1m
2023-01-06T09:37:00.000000000,5.95,5.97,5.94,5.94,10890,300507,1m
2023-01-06T09:38:00.000000000,5.94,5.95,5.93,5.95,10876,300507,1m
2023-01-06T09:39:00.000000000,5.96,5.97,5.94,5.95,10651,300507,1m
2023-01-06T09:40:00.000000000,5.95,5.98,5.95,5.98,11857,300507,1m
2023-01-06T09:41:00.000000000,5.98,5.98,5.98,5.98,12,300507,1m
